expiry,tenor,F0_bp,A0,offset_bp,strike_bp,price,stderr,n_valid,n_total,sigma_N_bp
1,1,-34.8668,1.00505183,-100.00,-134.8668,3.0222606361e-02,1.166910e-03,4812,10000,747.0778
1,1,-34.8668,1.00505183,-75.00,-109.8668,2.9623655081e-02,1.170712e-03,4812,10000,734.9993
1,1,-34.8668,1.00505183,-50.00,-84.8668,2.9073652699e-02,1.174484e-03,4812,10000,723.3780
1,1,-34.8668,1.00505183,-25.00,-59.8668,2.8574934317e-02,1.178228e-03,4812,10000,712.2284
1,1,-34.8668,1.00505183,0.00,-34.8668,2.8137318082e-02,1.181924e-03,4812,10000,701.7528
1,1,-34.8668,1.00505183,25.00,-9.8668,2.7767839081e-02,1.185565e-03,4812,10000,692.0864
1,1,-34.8668,1.00505183,50.00,15.1332,2.7478477869e-02,1.189129e-03,4812,10000,683.4931
1,1,-34.8668,1.00505183,75.00,40.1332,2.7261943000e-02,1.192638e-03,4812,10000,675.7630
1,1,-34.8668,1.00505183,100.00,65.1332,2.7099123612e-02,1.196144e-03,4812,10000,668.3933
1,5,-22.1155,5.05556973,-100.00,-122.1155,1.5531166058e-01,3.692150e-03,4812,10000,763.5195
1,5,-22.1155,5.05556973,-75.00,-97.1155,1.5334323128e-01,3.728990e-03,4812,10000,756.5847
1,5,-22.1155,5.05556973,-50.00,-72.1155,1.5154351034e-01,3.765968e-03,4812,10000,749.7090
1,5,-22.1155,5.05556973,-25.00,-47.1155,1.4989601604e-01,3.803172e-03,4812,10000,742.7865
1,5,-22.1155,5.05556973,0.00,-22.1155,1.4844192804e-01,3.840449e-03,4812,10000,735.9976
1,5,-22.1155,5.05556973,25.00,2.8845,1.4722913773e-01,3.877632e-03,4812,10000,729.5561
1,5,-22.1155,5.05556973,50.00,27.8845,1.4630666711e-01,3.914556e-03,4812,10000,723.6841
1,5,-22.1155,5.05556973,75.00,52.8845,1.4558891177e-01,3.951578e-03,4812,10000,717.9380
1,5,-22.1155,5.05556973,100.00,77.8845,1.4505099584e-01,3.988800e-03,4812,10000,712.1756
1,10,-1.9547,10.09316714,-100.00,-101.9547,2.5775780968e-01,4.780383e-03,4812,10000,632.2472
1,10,-1.9547,10.09316714,-75.00,-76.9547,2.5571467576e-01,4.875106e-03,4812,10000,630.6102
1,10,-1.9547,10.09316714,-50.00,-51.9547,2.5403208463e-01,4.970916e-03,4812,10000,628.8997
1,10,-1.9547,10.09316714,-25.00,-26.9547,2.5267693670e-01,5.067959e-03,4812,10000,627.0224
1,10,-1.9547,10.09316714,0.00,-1.9547,2.5165354852e-01,5.166171e-03,4812,10000,624.9791
1,10,-1.9547,10.09316714,25.00,23.0453,2.5105719644e-01,5.265035e-03,4812,10000,622.9966
1,10,-1.9547,10.09316714,50.00,48.0453,2.5077230739e-01,5.365092e-03,4812,10000,620.7781
1,10,-1.9547,10.09316714,75.00,73.0453,2.5081539561e-01,5.466201e-03,4812,10000,618.3548
1,10,-1.9547,10.09316714,100.00,98.0453,2.5113541571e-01,5.568544e-03,4812,10000,615.5879
5,1,8.8179,1.01272820,-100.00,-91.1821,3.1348640917e-02,7.816193e-04,4774,10000,344.0990
5,1,8.8179,1.01272820,-75.00,-66.1821,3.0731050744e-02,7.843661e-04,4774,10000,338.5045
5,1,8.8179,1.01272820,-50.00,-41.1821,3.0143142684e-02,7.870829e-04,4774,10000,332.9066
5,1,8.8179,1.01272820,-25.00,-16.1821,2.9586870690e-02,7.897694e-04,4774,10000,327.3089
5,1,8.8179,1.01272820,0.00,8.8179,2.9066453924e-02,7.924167e-04,4774,10000,321.7393
5,1,8.8179,1.01272820,25.00,33.8179,2.8583104410e-02,7.950279e-04,4774,10000,316.1914
5,1,8.8179,1.01272820,50.00,58.8179,2.8128642495e-02,7.976407e-04,4774,10000,310.5539
5,1,8.8179,1.01272820,75.00,83.8179,2.7696008411e-02,8.002859e-04,4774,10000,304.7256
5,1,8.8179,1.01272820,100.00,108.8179,2.7277711785e-02,8.029934e-04,4774,10000,298.5968
5,5,15.8479,5.04680513,-100.00,-84.1521,1.4226884091e-01,2.738979e-03,4774,10000,312.8168
5,5,15.8479,5.04680513,-75.00,-59.1521,1.3999905860e-01,2.768843e-03,4774,10000,309.1487
5,5,15.8479,5.04680513,-50.00,-34.1521,1.3784745245e-01,2.798774e-03,4774,10000,305.3690
5,5,15.8479,5.04680513,-25.00,-9.1521,1.3582211078e-01,2.828758e-03,4774,10000,301.4813
5,5,15.8479,5.04680513,0.00,15.8479,1.3393284830e-01,2.858772e-03,4774,10000,297.4921
5,5,15.8479,5.04680513,25.00,40.8479,1.3217096813e-01,2.888886e-03,4774,10000,293.3656
5,5,15.8479,5.04680513,50.00,65.8479,1.3048781019e-01,2.919349e-03,4774,10000,288.9753
5,5,15.8479,5.04680513,75.00,90.8479,1.2886841477e-01,2.950232e-03,4774,10000,284.2665
5,5,15.8479,5.04680513,100.00,115.8479,1.2730012249e-01,2.981589e-03,4774,10000,279.1853
5,10,19.0439,10.04208707,-100.00,-80.9561,2.4057422499e-01,4.007513e-03,4774,10000,264.7853
5,10,19.0439,10.04208707,-75.00,-55.9561,2.3744626892e-01,4.087679e-03,4774,10000,262.9248
5,10,19.0439,10.04208707,-50.00,-30.9561,2.3451907918e-01,4.168710e-03,4774,10000,260.8358
5,10,19.0439,10.04208707,-25.00,-5.9561,2.3176025915e-01,4.250786e-03,4774,10000,258.4722
5,10,19.0439,10.04208707,0.00,19.0439,2.2920376290e-01,4.333692e-03,4774,10000,255.8602
5,10,19.0439,10.04208707,25.00,44.0439,2.2687452471e-01,4.417286e-03,4774,10000,253.0131
5,10,19.0439,10.04208707,50.00,69.0439,2.2472096902e-01,4.501835e-03,4774,10000,249.8561
5,10,19.0439,10.04208707,75.00,94.0439,2.2272761313e-01,4.587391e-03,4774,10000,246.3510
5,10,19.0439,10.04208707,100.00,119.0439,2.2087725271e-01,4.674005e-03,4774,10000,242.4524
10,1,20.9523,1.00352047,-100.00,-79.0477,2.6412779450e-02,5.974241e-04,4489,10000,206.2105
10,1,20.9523,1.00352047,-75.00,-54.0477,2.5919235362e-02,5.999308e-04,4489,10000,203.3506
10,1,20.9523,1.00352047,-50.00,-29.0477,2.5448704515e-02,6.024594e-04,4489,10000,200.3920
10,1,20.9523,1.00352047,-25.00,-4.0477,2.5003874529e-02,6.050032e-04,4489,10000,197.3434
10,1,20.9523,1.00352047,0.00,20.9523,2.4590506521e-02,6.075423e-04,4489,10000,194.2366
10,1,20.9523,1.00352047,25.00,45.9523,2.4204721862e-02,6.101010e-04,4489,10000,191.0258
10,1,20.9523,1.00352047,50.00,70.9523,2.3836154448e-02,6.127299e-04,4489,10000,187.6123
10,1,20.9523,1.00352047,75.00,95.9523,2.3478946695e-02,6.154564e-04,4489,10000,183.9296
10,1,20.9523,1.00352047,100.00,120.9523,2.3130793059e-02,6.182909e-04,4489,10000,179.9349
10,5,22.2729,4.99528194,-100.00,-77.7271,1.1888888990e-01,2.818330e-03,4489,10000,185.9742
10,5,22.2729,4.99528194,-75.00,-52.7271,1.1701575304e-01,2.849219e-03,4489,10000,184.1588
10,5,22.2729,4.99528194,-50.00,-27.7271,1.1523363661e-01,2.880405e-03,4489,10000,182.1703
10,5,22.2729,4.99528194,-25.00,-2.7271,1.1356047847e-01,2.911818e-03,4489,10000,180.0274
10,5,22.2729,4.99528194,0.00,22.2729,1.1202397702e-01,2.943353e-03,4489,10000,177.7628
10,5,22.2729,4.99528194,25.00,47.2729,1.1059691670e-01,2.975144e-03,4489,10000,175.3201
10,5,22.2729,4.99528194,50.00,72.2729,1.0923344104e-01,3.007386e-03,4489,10000,172.6110
10,5,22.2729,4.99528194,75.00,97.2729,1.0791348618e-01,3.040152e-03,4489,10000,169.5844
10,5,22.2729,4.99528194,100.00,122.2729,1.0663951438e-01,3.073423e-03,4489,10000,166.2196
10,10,22.8141,9.93294621,-100.00,-77.1859,2.0061467120e-01,4.155445e-03,4489,10000,156.9182
10,10,22.8141,9.93294621,-75.00,-52.1859,1.9804296837e-01,4.235791e-03,4489,10000,156.2449
10,10,22.8141,9.93294621,-50.00,-27.1859,1.9561933019e-01,4.317477e-03,4489,10000,155.3033
10,10,22.8141,9.93294621,-25.00,-2.1859,1.9335365544e-01,4.400408e-03,4489,10000,154.0966
10,10,22.8141,9.93294621,0.00,22.8141,1.9128051294e-01,4.484377e-03,4489,10000,152.6450
10,10,22.8141,9.93294621,25.00,47.8141,1.8936670628e-01,4.569510e-03,4489,10000,150.9107
10,10,22.8141,9.93294621,50.00,72.8141,1.8758443014e-01,4.655888e-03,4489,10000,148.8565
10,10,22.8141,9.93294621,75.00,97.8141,1.8590119245e-01,4.743604e-03,4489,10000,146.4358
10,10,22.8141,9.93294621,100.00,122.8141,1.8428770621e-01,4.832719e-03,4489,10000,143.5967
