index,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,Average,Time (min)
AE baseline $\ell$=2,10.66,11.51,10.41,20.7,20.47,11.33,28.41,11.71,13.84,15.57,14.71
AE stable $\ell$=2,14.94,17.3,14.19,20.85,14.97,16.04,16.14,12.47,21.11,16.78,16.4
EKF DNS $\ell$=2,10.77,10.79,10.25,10.29,6.15,9.6,9.91,6.49,9.31,9.52,0.54
AE baseline $\ell$=3,11.3,10.75,10.32,18.31,11.06,12.23,12.46,10.82,13.4,12.44,19.85
AE stable $\ell$=3,15.3,13.17,12.67,19.57,13.95,12.78,14.56,12.29,15.75,14.69,18.04
EKF DNS $\ell$=3,7.22,6.67,6.6,6.47,3.68,5.91,5.52,4.09,5.1,5.86,0.51
AE baseline $\ell$=4,11.17,10.64,9.91,70.53,9.18,10.54,9.57,8.41,14.88,17.38,18.65
AE stable $\ell$=4,11.65,13.25,10.32,15.25,31.46,12.01,12.46,11.05,15.53,14.95,17.85
EKF DNS $\ell$=4,5.08,5.28,4.82,4.51,2.55,4.67,4.02,3.22,4.0,4.37,0.33
